,User ID,URL,Stars,Date,Review
28,29,gp:AOqpTOFvz3nlV0s_2fX_EFNkl28axcolJlTjfzv-mbiAyT2Q5NvHKp78vHuetzyeyBzhkJuClB4WGI3RLaJZvFQ,1,2020-10-27 18:18:24,"The idea is garbage, but the app is absolutely garbage how it works. Ot is a virus its self."
29,30,gp:AOqpTOHnxIkf6-C10L0XWKYyu6860PfDy5gH55WbsmSBfb17RSRyY_DqKoPS56bwpsjN5I1nm0tc8VNU0hAbH3Y,5,2020-10-24 23:09:59,Absolutely love it
30,31,gp:AOqpTOEE_ZaeJzFpdu8blo3TJ7Cq18nbclm8H_3mXXO_RZOm5kI2eXQ9faKK9D6XUrD62r5gls5SHxn3voSO_-M,1,2021-01-02 11:58:25,Not updated since nov
31,32,gp:AOqpTOH-HnlZNBdud12tFVyVaDH2uL9NjeybDoXdFXYlWAK5m_ynbSr7krfBsnWJKuwe5Na5IiyN9ThNzJ5R6Jc,5,2020-09-03 17:48:59,This app was no good it gave me covid
32,33,gp:AOqpTOFGHjMM9mg4i76fN6ia1sfwsfyOi8Y5DfwpSMKWIQVy4JOEevyW7MEMyFlL7oKOkKE760pYQFdtOVTtKXo,1,2020-11-15 19:25:29,Not any relevant information for right now!! 11-15-20
33,34,gp:AOqpTOFpDmHyF7eRmqpzhO6ZzKM6vlOWzKcN_7kHkAmTDN6R7p9qy9SklywiO5798a-MhX53--NCkI_F_kBndCA,1,2020-10-17 17:42:54,Communism is the very definition of failure.
34,35,gp:AOqpTOEcr0mjGm5DDW2-YF_CVdegLXGcmi7VeGz2m7GKX0Isg79fgPg_erxAQs_aoWvKR1RC31MTsJE7LukJ0K0,4,2020-09-27 01:53:58,"Seems like a good app but here's a question, will this app be effective even though I am in Colorado? Will it be effective in another state"
35,36,gp:AOqpTOEqUacyA8Cduwo6wCjCA5lTyzCpo5Aq3C5-dH8AEQZDCKvpi_WKEBh6C217QszHqSXJPd-2YLA9x9RgIWY,3,2020-11-29 11:27:49,It thinks I'm in North decode and Wyoming but I live in utah.
36,37,gp:AOqpTOFwePq5y39zHUJBqlHmwxWAFth7Nz6X42d5SRDUc8matkyzfjHn1qWGlejlJCuH3ZCv-4C0fJnQwLHwoKY,1,2020-10-31 23:21:06,Don't put stuff on my phone if I want it I would get it
37,38,gp:AOqpTOG6hOObGK5H03qz8ZMNOkEuw7kqLyEJbPKpEy63eW8xG02eEII65W0sTA_Yhe3djMHODGlXJ2wnB7PyQEc,5,2021-01-07 20:16:19,Helpful💕⁦♥️⁩👏🙏👏🤗
38,39,gp:AOqpTOG_cgfAEbNO7HLp5GyUwVYb71Rkh112I94EDA9O7j6rC1gdHmvOioHQ15EBNkJ3jEgsUY_JyP-Qseup9A0,1,2020-10-06 16:07:10,I didnt open it at all
39,40,gp:AOqpTOHixOOiHvV2N6QLag8rbEFQLCLptYKIemqrpxOAE8RuH_Fvx9PIrImhXrRCWbIND0uni5oaaONUfAgZZOc,5,2021-01-02 14:36:05,Good
40,41,gp:AOqpTOHaOP8JWjeEKdRYlwbN197RfTSNWsCWtWI-Fjf-m4_00BiJ-g1I4B9_I3UdEjwA368Wkhln80dc_ROf-_I,4,2020-11-19 21:46:47,Great!-!!🤔
41,42,gp:AOqpTOHoTn9EGZ7W3WDAZTYzj44xAbUL_MVYg7cNaxn_Tu-t8_IOWb6B-fPO4cMs2qotquTVLi4l8xOuhIKJ-dE,5,2020-11-07 14:36:18,Works great
42,43,gp:AOqpTOEoVaamqMfBdHQGT7qWdDDJ3BlbvNfdArR41Z61MJWW1tpYOg3k8PS2FI-I8V2Uulf2Tj3YqvFsGrTW2_I,1,2020-10-16 18:20:45,Poop
43,44,gp:AOqpTOF3G_FTVfMTN_bFPryy8bbLJUdWZTtRbnmXRhw-i2upxutPx-EKlT3L5qCC9S-lQlHm4iwiNCvU-Sk9Zpo,5,2020-09-14 18:29:55,Help
44,45,gp:AOqpTOG_HOGuv_XFxblxUFK0YSejREqHbxWXB2g4CznX2F3T5I6lVdxe76NtCGvScuOkxTjUkLaJ4F6Yi54cD8g,5,2021-01-13 14:48:06,Love it
